GID	GENENAME
69514	ostta01g04890
69515	ostta01g04900
69516	ostta01g04910
69517	ostta01g04920
69518	ostta01g04930
69519	ostta01g04940
69520	ostta01g04950
69521	ostta01g04960
69522	ostta01g04970
69523	ostta01g04980
69524	ostta01g04990
69525	ostta01g05000
69526	ostta01g05005
69527	ostta01g05010
69528	ostta01g05020
69529	ostta01g05030
69530	ostta01g05040
69531	ostta01g05050
69532	ostta01g05060
69533	ostta01g05070
69534	ostta01g05080
69535	ostta01g05090
69536	ostta01g05100
69537	ostta01g05110
69538	ostta01g05120
69539	ostta01g05130
69540	ostta01g05140
69541	ostta01g05150
69542	ostta01g05155
69543	ostta01g05160
69544	ostta01g05170
69545	ostta01g05180
69546	ostta01g05190
69547	ostta01g05200
69548	ostta01g05210
69549	ostta01g05220
69550	ostta01g05230
69551	ostta01g05240
69552	ostta01g05250
69553	ostta01g05260
69554	ostta01g05270
69555	ostta01g05280
69556	ostta01g05290
69557	ostta01g05300
69558	ostta01g05310
69559	ostta01g05320
69560	ostta01g05330
69561	ostta01g05340
69562	ostta01g05350
69563	ostta01g05360
69564	ostta01g05380
69565	ostta01g05390
69566	ostta01g05400
69567	ostta01g05410
69568	ostta01g05420
69569	ostta01g05430
69570	ostta01g05440
69571	ostta01g05450
69572	ostta01g05460
69573	ostta01g05470
69574	ostta01g05480
69575	ostta01g05490
69576	ostta01g05500
69577	ostta01g05510
69578	ostta01g05520
69579	ostta01g05540
69580	ostta01g05550
69581	ostta01g05560
69582	ostta01g05570
69583	ostta01g05580
69584	ostta01g05590
69585	ostta01g05600
69586	ostta01g05610
69587	ostta01g05620
69588	ostta01g05630
69589	ostta01g05640
69590	ostta01g05650
69591	ostta01g05660
69592	ostta01g05670
69593	ostta01g05680
69594	ostta01g05690
69595	ostta01g05700
69596	ostta01g05710
69597	ostta01g05720
69598	ostta01g05730
69599	ostta01g05740
69600	ostta01g05750
69601	ostta01g05760
69602	ostta01g05770
69603	ostta01g05780
69604	ostta01g05790
69605	ostta01g05800
69606	ostta01g05810
69607	ostta01g05820
69608	ostta01g05830
69609	ostta01g05840
69610	ostta01g05850
69611	ostta01g05860
69612	ostta01g05870
69613	ostta01g05880
69614	ostta01g05890
69615	ostta01g05900
69616	ostta01g05910
69617	ostta01g05920
69618	ostta01g05930
69619	ostta01g05940
69620	ostta01g05950
69621	ostta01g05960
69622	ostta01g05970
69623	ostta01g05980
69624	ostta01g05990
69625	ostta01g06000
69626	ostta01g06010
69627	ostta01g06020
69628	ostta01g06030
69629	ostta01g06040
69630	ostta01g06050
69631	ostta01g06060
69632	ostta01g06070
69633	ostta01g06080
69634	ostta01g06090
69635	ostta01g06100
69636	ostta01g06110
69637	ostta01g06120
69638	ostta01g06130
69639	ostta01g06140
69640	ostta01g06150
69641	ostta01g06160
69642	ostta01g06170
69643	ostta01g06180
69644	ostta01g06190
