Cre02.g109100.t1.1	PDE23
Cre02.g109650.t1.1	GSP1
Cre02.g109950.t1.2	HLIP
Cre02.g110300.t1.2	DNJ25
Cre02.g110600.t1.2	DEG5
Cre02.g110750.t1.2	LHCB7
Cre02.g110950.t1.1	FAP133
Cre02.g111000.t1.2	CGL9
Cre02.g111050.t1.1	AMT7
Cre02.g111150.t1.1	ELG26
Cre02.g111450.t1.2	TEF4
Cre02.g111650.t1.2	CGL8
Cre02.g112000.t1.1	AOT7
Cre02.g112100.t1.1	FAP101
Cre02.g112850.t1.1	COQ6
Cre02.g113200.t1.1	GLN1
Cre02.g114100.t1.1	PDE22
Cre02.g114250.t1.2	MEN2
Cre02.g114600.t1.2	PRX2
Cre02.g114700.t1.2	CYN17
Cre02.g114900.t1.1	ANK23
Cre02.g115050.t1.2	RSE3
Cre02.g115200.t1.2	RPL27a
Cre02.g115250.t1.1	POC1
Cre02.g115300.t1.1	AOT6
Cre02.g115450.t1.1	CYG47
Cre02.g115650.t1.2	FBA4
Cre02.g116400.t1.1	FAP120
Cre02.g116450.t1.2	RPE2
Cre02.g116500.t1.1	CPY3
Cre02.g116550.t1.2	DNJ24
Cre02.g116600.t1.2	ELG23
Cre02.g116600.t2.1	ELG23
Cre02.g116700.t1.2	PTK11
Cre02.g116750.t1.1	ATP1A
Cre02.g116750.t2.1	ATP1A
Cre02.g116900.t1.2	HDP1
Cre02.g116900.t2.1	HDP1
Cre02.g117000.t1.1	CYG21
Cre02.g117300.t1.2	MRPL45
Cre02.g117500.t1.2	HXK1
Cre02.g117550.t1.2	ANK13
Cre02.g118050.t1.2	CYCU1
Cre02.g118250.t1.1	SWB1
Cre02.g118450.t1.1	DNJ28
Cre02.g118500.t1.1	COPB2
Cre02.g118600.t1.2	FTSZ1
Cre02.g118900.t1.2	MYG1
Cre02.g118950.t1.2	PRPS17
Cre02.g119050.t1.1	CER1
Cre02.g119100.t1.2	CER2
Cre02.g119550.t1.2	NIP1
Cre02.g119850.t1.1	PDE9
Cre02.g119900.t1.2	CEP6
Cre02.g120100.t1.2	RBCS1
Cre02.g120150.t1.2	RBCS2
Cre02.g141000.t1.1	DCL1
Cre02.g141050.t1.1	AGO1
Cre02.g141350.t1.2	FAP84
Cre02.g141400.t1.2	PCK1
Cre02.g141606.t1.1	DHC9
Cre02.g141786.t1.1	PDE25	PDE25
Cre02.g141806.t1.1	PTK16	PTK16
Cre02.g141950.t1.1	MOT19
Cre02.g142000.t1.2	UBC4
Cre02.g142126.t1.1	FAP115	FAP115
Cre02.g142186.t1.1	FTSZ2	FTSZ2
Cre02.g143050.t1.2	RPP2
Cre02.g143250.t1.2	IDH2
Cre02.g143307.t1.1	CLPC1
Cre02.g143350.t1.1	PDE6
Cre02.g143550.t1.2	ELI4
Cre02.g143667.t1.1	PLP9	PLP9
Cre02.g144000.t1.2	IND1
Cre02.g144050.t1.2	ELG34
Cre02.g144050.t2.1	ELG34
Cre02.g144100.t1.2	ELG12
Cre02.g144400.t1.1	MRPS12
Cre02.g144400.t2.1	MRPS12
Cre02.g144450.t1.2	FAP1
Cre02.g144600.t1.1	PTB9
Cre02.g144650.t1.2	PTB12
Cre02.g144700.t1.2	PTB5
Cre02.g144750.t1.1	PTB4
Cre02.g144800.t1.1	LCI8
Cre02.g144850.t1.2	CGLD26
Cre02.g144950.t1.1	KCN4
Cre02.g145050.t1.2	CMK1
Cre02.g145250.t1.2	RPS27e2
Cre02.g145500.t1.2	PTK24
Cre02.g145700.t1.2	AOT1
Cre02.g145750.t1.1	AOT2
