TID	TRANSNAME
69507	ostta01g04440T0
69508	ostta01g04450T0
69509	ostta01g04460T0
69510	ostta01g04470T0
69511	ostta01g04480T0
69512	ostta01g04490T0
69513	ostta01g04500T0
69514	ostta01g04510T0
69515	ostta01g04520T0
69516	ostta01g04530T0
69517	ostta01g04540T0
69518	ostta01g04550T0
69519	ostta01g04560T0
69520	ostta01g04570T0
69521	ostta01g04580T0
69522	ostta01g04585T0
69523	ostta01g04590T0
69524	ostta01g04600T0
69525	ostta01g04610T0
69526	ostta01g04620T0
69527	ostta01g04630T0
69528	ostta01g04640T0
69529	ostta01g04650T0
69530	ostta01g04660T0
69531	ostta01g04670T0
69532	ostta01g04680T0
69533	ostta01g04690T0
69534	ostta01g04700T0
69535	ostta01g04710T0
69536	ostta01g04720T0
69537	ostta01g04730T0
69538	ostta01g04740T0
69539	ostta01g04750T0
69540	ostta01g04760T0
69541	ostta01g04770T0
69542	ostta01g04780T0
69543	ostta01g04790T0
69544	ostta01g04800T0
69545	ostta01g04810T0
69546	ostta01g04820T0
69547	ostta01g04830T0
69548	ostta01g04840T0
69549	ostta01g04850T0
69550	ostta01g04860T0
69551	ostta01g04870T0
69552	ostta01g04880T0
69553	ostta01g04890T0
69554	ostta01g04900T0
69555	ostta01g04910T0
69556	ostta01g04920T0
69557	ostta01g04930T0
69558	ostta01g04940T0
69559	ostta01g04950T0
69560	ostta01g04960T0
69561	ostta01g04970T0
69562	ostta01g04980T0
69563	ostta01g04990T0
69564	ostta01g05000T0
69565	ostta01g05005T0
69566	ostta01g05010T0
69567	ostta01g05020T0
69568	ostta01g05030T0
69569	ostta01g05040T0
69570	ostta01g05050T0
69571	ostta01g05060T0
69572	ostta01g05070T0
69573	ostta01g05080T0
69574	ostta01g05090T0
69575	ostta01g05100T0
69576	ostta01g05110T0
69577	ostta01g05120T0
69578	ostta01g05130T0
69579	ostta01g05140T0
69580	ostta01g05150T0
69581	ostta01g05155T0
69582	ostta01g05160T0
69583	ostta01g05170T0
69584	ostta01g05180T0
69585	ostta01g05190T0
69586	ostta01g05200T0
69587	ostta01g05210T0
69588	ostta01g05220T0
69589	ostta01g05230T0
69590	ostta01g05240T0
69591	ostta01g05250T0
69592	ostta01g05260T0
69593	ostta01g05270T0
69594	ostta01g05280T0
69595	ostta01g05290T0
69596	ostta01g05300T0
69597	ostta01g05310T0
69598	ostta01g05320T0
69599	ostta01g05330T0
69600	ostta01g05340T0
69601	ostta01g05350T0
69602	ostta01g05360T0
69603	ostta01g05380T0
69604	ostta01g05390T0
69605	ostta01g05400T0
69606	ostta01g05410T0
69607	ostta01g05420T0
69608	ostta01g05430T0
69609	ostta01g05440T0
69610	ostta01g05450T0
69611	ostta01g05460T0
69612	ostta01g05470T0
69613	ostta01g05480T0
69614	ostta01g05490T0
69615	ostta01g05500T0
69616	ostta01g05510T0
69617	ostta01g05520T0
69618	ostta01g05540T0
69619	ostta01g05550T0
69620	ostta01g05560T0
69621	ostta01g05570T0
69622	ostta01g05580T0
69623	ostta01g05590T0
69624	ostta01g05600T0
69625	ostta01g05610T0
69626	ostta01g05620T0
69627	ostta01g05630T0
69628	ostta01g05640T0
69629	ostta01g05650T0
69630	ostta01g05660T0
69631	ostta01g05670T0
69632	ostta01g05680T0
69633	ostta01g05690T0
69634	ostta01g05700T0
69635	ostta01g05710T0
69636	ostta01g05720T0
69637	ostta01g05730T0
69638	ostta01g05740T0
69639	ostta01g05750T0
69640	ostta01g05760T0
69641	ostta01g05770T0
69642	ostta01g05780T0
69643	ostta01g05790T0
69644	ostta01g05800T0
69645	ostta01g05810T0
69646	ostta01g05820T0
69647	ostta01g05830T0
69648	ostta01g05840T0
69649	ostta01g05850T0
69650	ostta01g05860T0
69651	ostta01g05870T0
69652	ostta01g05880T0
69653	ostta01g05890T0
69654	ostta01g05900T0
69655	ostta01g05910T0
69656	ostta01g05920T0
69657	ostta01g05930T0
69658	ostta01g05940T0
69659	ostta01g05950T0
69660	ostta01g05960T0
69661	ostta01g05970T0
69662	ostta01g05980T0
69663	ostta01g05990T0
69664	ostta01g06000T0
69665	ostta01g06010T0
69666	ostta01g06020T0
69667	ostta01g06030T0
69668	ostta01g06040T0
69669	ostta01g06050T0
69670	ostta01g06060T0
69671	ostta01g06070T0
69672	ostta01g06080T0
69673	ostta01g06090T0
69674	ostta01g06100T0
69675	ostta01g06110T0
69676	ostta01g06120T0
69677	ostta01g06130T0
69678	ostta01g06140T0
69679	ostta01g06150T0
69680	ostta01g06160T0
69681	ostta01g06170T0
69682	ostta01g06180T0
69683	ostta01g06190T0
69684	ostta01g06200T0
69685	ostta01g06210T0
69686	ostta01g06220T0
69687	ostta01g06230T0
69688	ostta01g06240T0
69689	ostta01g06250T0
69690	ostta01g06260T0
69691	ostta01g06270T0
69692	ostta01g06280T0
69693	ostta01g06290T0
69694	ostta01g06310T0
69695	ostta01g06320T0
69696	ostta01g06330T0
69697	ostta01g06340T0
69698	ostta01g06350T0
69699	ostta01g06360T0
69700	ostta01g06370T0
69701	ostta01g06380T0
69702	ostta01g06390T0
69703	ostta01g06400T0
69704	ostta01g06410T0
69705	ostta01g06420T0
69706	ostta01g06430T0
69707	ostta01g06440T0
69708	ostta01g06450T0
69709	ostta01g06460T0
69710	ostta01g06465T0
69711	ostta01g06470T0
69712	ostta01g06490T0
69713	ostta01g06500T0
69714	ostta01g06510T0
69715	ostta01g06520T0
69716	ostta01g06530T0
69717	ostta01g06540T0
69718	ostta01g06545T0
69719	ostta01g06550T0
69720	ostta01g06555T0
69721	ostta01g06560T0
69722	ostta01g06570T0
69723	ostta01g06580T0
69724	ostta01g06590T0
69725	ostta01g06600T0
69726	ostta01g06610T0
69727	ostta01g06620T0
69728	ostta01g06630T0
69729	ostta01g06640T0
69730	ostta01g06650T0
69731	ostta01g06660T0
69732	ostta01g06670T0
69733	ostta01g06680T0
69734	ostta10g00010T0
69735	ostta10g00020T0
69736	ostta10g00030T0
69737	ostta10g00040T0
69738	ostta10g00050T0
69739	ostta10g00060T0
69740	ostta10g00070T0
69741	ostta10g00080T0
69742	ostta10g00090T0
69743	ostta10g00100T0
69744	ostta10g00110T0
69745	ostta10g00120T0
69746	ostta10g00130T0
69747	ostta10g00140T0
69748	ostta10g00150T0
69749	ostta10g00160T0
69750	ostta10g00170T0
69751	ostta10g00180T0
69752	ostta10g00190T0
69753	ostta10g00200T0
69754	ostta10g00210T0
69755	ostta10g00220T0
69756	ostta10g00230T0
69757	ostta10g00240T0
69758	ostta10g00250T0
69759	ostta10g00260T0
69760	ostta10g00270T0
69761	ostta10g00280T0
69762	ostta10g00290T0
69763	ostta10g00300T0
69764	ostta10g00310T0
69765	ostta10g00320T0
69766	ostta10g00330T0
69767	ostta10g00340T0
69768	ostta10g00350T0
69769	ostta10g00360T0
69770	ostta10g00370T0
69771	ostta10g00380T0
69772	ostta10g00390T0
69773	ostta10g00400T0
69774	ostta10g00410T0
69775	ostta10g00420T0
69776	ostta10g00430T0
69777	ostta10g00440T0
69778	ostta10g00450T0
69779	ostta10g00500T0
69780	ostta10g00510T0
69781	ostta10g00520T0
69782	ostta10g00530T0
69783	ostta10g00540T0
69784	ostta10g00545T0
69785	ostta10g00550T0
69786	ostta10g00560T0
69787	ostta10g00565T0
69788	ostta10g00570T0
69789	ostta10g00580T0
69790	ostta10g00590T0
69791	ostta10g00600T0
69792	ostta10g00610T0
69793	ostta10g00620T0
69794	ostta10g00630T0
69795	ostta10g00640T0
69796	ostta10g00650T0
69797	ostta10g00660T0
69798	ostta10g00670T0
69799	ostta10g00680T0
